,NumberofFloors,ENERGYSTARScore,SiteEUI(kBtu/sf),GHGEmissionsIntensity,GHGEmissionsIntensity_log,SiteEUI(kBtu/sf)_log,Electricity,Gas,Steam,Neighbor_BALLARD,Neighbor_Ballard,Neighbor_CENTRAL,Neighbor_Central,Neighbor_DELRIDGE,Neighbor_DELRIDGE NEIGHBORHOODS,Neighbor_DOWNTOWN,Neighbor_Delridge,Neighbor_EAST,Neighbor_GREATER DUWAMISH,Neighbor_LAKE UNION,Neighbor_MAGNOLIA / QUEEN ANNE,Neighbor_NORTH,Neighbor_NORTHEAST,Neighbor_NORTHWEST,Neighbor_North,Neighbor_Northwest,Neighbor_SOUTHEAST,Neighbor_SOUTHWEST,Built_1900-1945,Built_1946-1970,Built_1971-1990,Built_1991-2015,Hotel,Parking,Restaurant,Swimming Pool,Police Station,Other - Entertainment/Public Assembly,Data Center,Library,Fitness Center/Health Club/Gym,Office,Other,Other - Lodging/Residential,Social/Meeting Hall,Courthouse,College/University,Automobile Dealership,Retail Store,K-12 School,Multifamily Housing,Self-Storage Facility,Energy/Power Station,Laboratory,Manufacturing/Industrial Plant,Non-Refrigerated Warehouse,Refrigerated Warehouse,Other - Education,Vocational School,Other - Mall,Personal Services (Health/Beauty,Dry Cleaning,etc),Senior Care Community,Medical Office,Distribution Center,Hospital (General Medical & Surgical),Museum,Repair Services (Vehicle,Shoe,Locksmith,Food Service,Residence Hall/Dormitory,Other - Services,Other/Specialty Hospital,Financial Office,Other - Utility,Fast Food Restaurant,Movie Theater,Supermarket/Grocery Store,Worship Facility,Lifestyle Center,Other - Recreation,Convenience Store without Gas Station,Pre-school/Daycare,Food Sales,Other - Restaurant/Bar,Single Family Home,Performing Arts,Bank Branch,Urgent Care/Clinic/Other Outpatient,Adult Education,Outpatient Rehabilitation/Physical Therapy,Vocat,Strip Mall,Wholesale Club/Supercenter,Enclosed Mall,Other - Public Services,Bar/Nightclub,Other - Technology/Science,Fire Station,Residential Care Facility,Prison/Incarceration
21,19,62.36363636363637,124.1999969,4.41,1.4838746894587547,4.821893144539636,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
23,6,84.0,63.20000076,1.02,0.01980262729617973,4.1463043131781285,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.6547543796279574,0.34524562037204265,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
24,7,63.63590772316951,90.69999695,3.07,1.1216775615991057,4.507557323493748,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9874163658338139,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
25,2,62.36363636363637,19.5,0.14,-1.9661128563728327,2.970414465569701,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
26,8,61.22222222222222,45.5,1.62,0.4824261492442928,3.817712325956905,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7101010864907106,0.19096145604880385,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028359676321560917,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
27,10,57.0,85.80000305,1.91,0.6471032420585384,4.452019042041702,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7500552756217053,0.22273748152630538,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
29,5,57.0,92.90000153,1.88,0.6312717768418578,4.531523662289114,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7015640988159626,0.2368074842859231,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
32,3,67.21794871794872,61.5,1.81,0.5933268452777344,4.119037174812473,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0.0,0.04935710847791708,0.0,0.0,0.0,0.46919621370126746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20802869519378422,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
33,4,29.0,81.5,2.63,0.9669838461896731,4.400603020246817,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
34,2,63.63590772316951,12.10000038,0.04,-3.2188758248682006,2.4932054840076536,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2376400014498532,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
