,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofFloors,PropertyGFATotal,PropertyGFAParking,ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),GHGEmissionsIntensity
354,Warehouse,1,SOUTHWEST,1997,4,98475,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,98475.0,,,,,83.0,11.10000038,0.0,768997.0,321500.0,0.23
355,Hospital,3,LAKE UNION,2000,7,351530,150455,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),215602.0,,,,,23.0,198.1000061,0.0,26781892.0,15927728.0,2.94
356,Supermarket / Grocery Store,5,NORTH,1995,2,308965,187878,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,121087.0,Parking,0.0,Parking,0.0,78.0,119.9000015,0.0,10680826.0,3831959.0,0.9
357,Supermarket / Grocery Store,2,GREATER DUWAMISH,2008,1,63225,0,Supermarket/Grocery Store,Supermarket/Grocery Store,63225.0,,,,,100.0,103.1999969,0.0,6522551.0,0.0,0.72
358,Other,1,DELRIDGE,1955,1,113780,0,"Office, Other - Services",Other - Services,91532.0,Office,22248.0,,,62.36363636363637,31.39999962,0.0,1470885.0,2103657.0,1.07
359,Warehouse,2,GREATER DUWAMISH,1999,1,243044,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,325424.0,,,,,100.0,4.300000191,0.0,700977.0,695105.0,0.17
360,Other,6,LAKE UNION,2001,3,280252,156312,"Office, Parking, Retail Store",Parking,156312.0,Office,116440.0,Retail Store,7500.0,62.36363636363637,93.0,0.0,11521701.0,0.0,0.29
361,Other,7,MAGNOLIA / QUEEN ANNE,1952,3,66462,12998,"Other, Parking",Other,72000.0,Parking,15000.0,,,62.36363636363637,95.5,0.0,6876438.0,0.0,0.72
362,Retail Store,5,NORTHWEST,1997,1,131387,0,Retail Store,Retail Store,107931.0,,,,,72.0,81.30000305,0.0,7704514.0,1068542.0,0.84
363,Warehouse,5,NORTHWEST,1999,3,94400,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,67155.0,,,,,38.0,11.69999981,0.0,680865.0,103500.0,0.11
364,Other,5,NORTHWEST,1964,1,111900,0,"Parking, Strip Mall",Strip Mall,124231.0,Parking,0.0,,,62.36363636363637,79.0,0.0,6390148.0,3424670.0,2.02
365,Supermarket / Grocery Store,5,NORTHWEST,1984,1,144776,0,Wholesale Club/Supercenter,Wholesale Club/Supercenter,144776.0,,,,,56.0,92.69999695,0.0,10307295.0,3116783.0,1.64
366,Retail Store,5,NORTHWEST,1967,1,114000,0,"Retail Store, Supermarket/Grocery Store",Retail Store,57805.0,Supermarket/Grocery Store,56312.0,,,79.0,150.8999939,0.0,7836595.0,9388848.0,4.85
367,Supermarket / Grocery Store,5,NORTHWEST,1997,1,50083,0,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,50065.0,Parking,0.0,,,78.0,173.0,0.0,6528390.0,2135300.0,3.17
368,Large Office,6,LAKE UNION,1988,3,124071,28645,Office,Office,96504.0,,,,,73.0,51.70000076,0.0,4989211.0,2149.0,0.28
369,Small- and Mid-Sized Office,6,LAKE UNION,2000,4,90000,36528,Office,Office,90000.0,,,,,84.0,43.29999924,0.0,3897737.0,0.0,0.3
370,Small- and Mid-Sized Office,6,LAKE UNION,2001,3,96041,33709,"Office, Parking",Office,62232.0,Parking,33709.0,,,70.0,87.0,0.0,5413417.0,0.0,0.39
371,Large Office,6,LAKE UNION,1999,3,280957,114829,"Data Center, Office, Parking, Restaurant",Office,152579.0,Parking,93893.0,Data Center,7500.0,96.0,68.69999695,0.0,10986553.0,336610.0,0.34
372,Large Office,6,LAKE UNION,1999,4,243334,103032,"Office, Parking",Office,138995.0,Parking,24549.0,,,89.0,62.20000076,0.0,8116657.0,535178.0,0.35
373,Mixed Use Property,7,DOWNTOWN,1991,6,154660,0,"Data Center, Library, Non-Refrigerated Warehouse, Office, Other - Entertainment/Public Assembly, Other - Recreation, Other - Services, Restaurant, Social/Meeting Hall",Other - Entertainment/Public Assembly,119815.0,Other - Recreation,63101.0,Social/Meeting Hall,26380.0,61.96153846153846,209.3000031,17548416.0,34936812.0,475560.0,10.5
374,Large Office,2,GREATER DUWAMISH,1982,5,390295,121375,"Office, Parking",Office,243018.0,Parking,108408.0,,,95.0,31.60000038,0.0,7683884.0,0.0,0.14
375,Warehouse,2,GREATER DUWAMISH,1967,2,90000,0,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,70000.0,Office,20000.0,,,87.0,15.89999962,0.0,1272922.0,156224.0,0.19
376,Retail Store,2,GREATER DUWAMISH,1966,1,50200,0,Retail Store,Retail Store,50200.0,,,,,66.11111111111111,20.89999962,0.0,507461.0,540000.0,0.64
377,Small- and Mid-Sized Office,6,BALLARD,1925,6,94033,6200,"Multifamily Housing, Non-Refrigerated Warehouse, Office, Parking, Retail Store",Office,53993.0,Retail Store,24744.0,Parking,4500.0,67.21794871794872,56.59999847,0.0,2871051.0,1887147.0,1.28
378,Warehouse,6,BALLARD,1941,2,63240,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,63240.0,,,,,100.0,3.599999905,0.0,85409.0,142158.0,0.13
379,Other,6,BALLARD,2008,5,322869,182454,"Parking, Retail Store",Parking,182454.0,Retail Store,130744.0,,,62.36363636363637,130.6999969,0.0,10708106.0,6377238.0,1.28
380,Self-Storage Facility,7,MAGNOLIA / QUEEN ANNE,1988,4,130293,23400,"Parking, Self-Storage Facility",Self-Storage Facility,130293.0,Parking,8800.0,,,63.63590772316951,3.599999905,0.0,465533.0,0.0,0.02
381,Warehouse,7,MAGNOLIA / QUEEN ANNE,1997,4,106041,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,106041.0,,,,,94.0,10.60000038,0.0,739343.0,384600.0,0.24
382,Self-Storage Facility,7,MAGNOLIA / QUEEN ANNE,1956,3,94470,0,Self-Storage Facility,Self-Storage Facility,94470.0,,,,,63.63590772316951,10.60000038,0.0,432859.0,567938.0,0.35
383,Large Office,2,DOWNTOWN,2002,10,181694,38186,"Office, Other, Parking",Office,150840.0,Parking,26946.0,Other,2155.0,88.0,49.90000153,0.0,7637985.0,0.0,0.29
385,Warehouse,2,GREATER DUWAMISH,1966,1,22780,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,22780.0,,,,,33.0,17.60000038,0.0,402051.0,0.0,0.12
386,Distribution Center,2,GREATER DUWAMISH,1967,1,124472,0,"Distribution Center, Parking",Distribution Center,124423.0,Parking,0.0,,,62.0,43.90000153,0.0,1145957.0,4318805.0,1.91
387,Large Office,7,DOWNTOWN,1970,22,227556,98556,"Office, Parking",Office,227556.0,Parking,77887.79688,,,95.0,37.29999924,0.0,8493419.0,0.0,0.26
388,Distribution Center,2,GREATER DUWAMISH,1967,1,50065,0,"Distribution Center, Parking",Distribution Center,49918.0,Parking,0.0,,,72.0,30.60000038,0.0,836261.0,693249.0,0.85
389,Distribution Center,2,GREATER DUWAMISH,1969,1,57540,0,Distribution Center,Distribution Center,57540.0,,,,,26.0,44.90000153,0.0,1310981.0,1271706.0,1.33
390,Warehouse,2,GREATER DUWAMISH,1966,1,85400,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,85400.0,,,,,49.0,18.0,0.0,1536998.0,0.0,0.13
391,Warehouse,2,GREATER DUWAMISH,1966,1,55700,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,55700.0,,,,,63.0,9.300000191,0.0,519806.0,0.0,0.06
392,Small- and Mid-Sized Office,2,GREATER DUWAMISH,1964,1,53250,0,"Office, Parking",Office,52759.0,Parking,0.0,,,96.0,34.0,0.0,1048173.0,746014.0,0.88
393,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,1987,6,78672,28427,Office,Office,78672.0,,,,,98.0,27.70000076,0.0,1888502.0,291217.0,0.36
394,Warehouse,5,NORTHWEST,1986,3,64660,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,64660.0,,,,,89.0,5.0,0.0,237813.0,87700.0,0.1
395,Mixed Use Property,3,EAST,1927,2,75844,19928,"Office, Other, Parking",Other,28442.0,Office,28441.0,Parking,18961.0,61.96153846153846,64.80000305,0.0,3406851.0,277337.0,0.51
396,Distribution Center,2,GREATER DUWAMISH,1968,1,161678,0,Distribution Center,Distribution Center,162425.0,,,,,25.0,57.59999847,0.0,6332002.0,3025227.0,1.27
397,Distribution Center,2,GREATER DUWAMISH,1949,1,101101,0,Distribution Center,Distribution Center,101101.0,,,,,1.0,215.6000061,0.0,21779250.0,16577.0,1.51
398,Distribution Center,2,GREATER DUWAMISH,1980,1,52613,0,Distribution Center,Distribution Center,59504.0,,,,,80.0,17.79999924,0.0,527872.0,533586.0,0.61
399,Other,2,GREATER DUWAMISH,1940,1,56608,0,"Office, Other",Other,45340.0,Office,11520.0,,,62.36363636363637,89.59999847,0.0,4253264.0,840932.0,1.31
400,Refrigerated Warehouse,2,GREATER DUWAMISH,1953,1,104099,0,"Office, Parking, Refrigerated Warehouse",Refrigerated Warehouse,100000.0,Office,4099.0,Parking,0.0,76.8,170.0,0.0,17283711.0,411705.0,1.37
401,Supermarket / Grocery Store,5,NORTHWEST,2003,1,58184,7450,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,51722.0,Parking,0.0,,,41.0,284.5,0.0,7956442.0,6758820.0,7.12
402,Supermarket / Grocery Store,5,NORTH,1980,1,58480,0,Supermarket/Grocery Store,Supermarket/Grocery Store,44431.0,,,,,37.0,248.8000031,0.0,6817771.0,4236763.0,4.66
403,Large Office,7,LAKE UNION,2005,6,336700,124800,"Office, Parking, Retail Store",Office,217977.0,Parking,4569.0,Retail Store,0.0,95.0,41.59999847,0.0,7877393.0,0.0,0.16
404,Retail Store,7,LAKE UNION,1996,4,264008,159994,Retail Store,Retail Store,98863.0,,,,,42.0,100.5,0.0,7307906.0,2629800.0,0.72
405,Small- and Mid-Sized Office,3,CENTRAL,1914,2,62220,0,"Office, Other - Services, Parking",Office,60676.0,Parking,13780.0,Other - Services,1324.0,32.0,87.80000305,0.0,5431426.0,12827.0,0.62
406,Small- and Mid-Sized Office,3,GREATER DUWAMISH,1970,1,65430,0,"Office, Other",Office,60732.0,Other,8142.0,,,89.0,46.20000076,0.0,1705793.0,1475252.0,1.38
407,Large Office,4,NORTHEAST,2006,3,102290,42440,"Office, Parking",Office,83715.0,Parking,18575.0,,,26.0,72.40000153,0.0,5913177.0,149593.0,0.48
408,Other,3,CENTRAL,1926,3,80004,0,Other,Other,74864.0,,,,,62.36363636363637,163.3999939,0.0,12232122.0,0.0,1.07
409,Warehouse,2,GREATER DUWAMISH,1991,2,323916,0,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,263528.0,Office,60388.0,,,92.0,24.79999924,0.0,3548085.0,4475979.0,0.81
410,Mixed Use Property,2,GREATER DUWAMISH,1932,14,304052,0,"Medical Office, Office, Parking",Office,218918.0,Parking,156487.0,Medical Office,84051.89844,66.0,69.40000153,0.0,18843504.0,2183891.0,0.81
411,Small- and Mid-Sized Office,4,LAKE UNION,1978,4,85385,31210,"Data Center, Office, Parking",Office,50235.0,Parking,25525.0,Data Center,2875.0,67.21794871794872,91.40000153,0.0,4855036.0,0.0,0.4
412,Distribution Center,1,GREATER DUWAMISH,1989,2,98024,0,"Distribution Center, Office",Distribution Center,63896.0,Office,33712.0,,,94.0,20.39999962,0.0,1373037.0,615298.0,0.43
413,Mixed Use Property,7,LAKE UNION,1928,1,65000,15000,"Office, Other, Parking",Office,20000.0,Parking,15000.0,Other,10000.0,61.96153846153846,86.80000305,0.0,1612547.0,991384.0,0.98
414,Large Office,7,LAKE UNION,1990,5,144573,66620,"Office, Parking",Office,78521.0,Parking,66650.0,,,62.0,65.40000153,0.0,5135039.0,0.0,0.25
415,Retail Store,5,NORTH,1950,2,302812,0,Retail Store,Retail Store,302812.0,,,,,97.0,24.10000038,0.0,5590290.0,1700534.0,0.43
416,Small- and Mid-Sized Office,5,NORTHWEST,1974,5,86400,0,Office,Office,78200.0,,,,,53.0,116.0999985,0.0,4089680.0,4990341.0,3.4
417,Other,5,North,1969,2,98539,0,Strip Mall,Strip Mall,98539.0,,,,,62.36363636363637,55.29999924,0.0,5266334.0,184107.0,0.47
418,Small- and Mid-Sized Office,5,NORTHWEST,1981,6,86483,0,"Office, Parking",Office,86483.0,Parking,0.0,,,56.0,73.59999847,0.0,6361236.0,0.0,0.51
419,Distribution Center,1,DELRIDGE,1976,1,51600,0,"Distribution Center, Office",Distribution Center,34400.0,Office,17200.0,,,75.0,21.79999924,0.0,815508.0,309035.0,0.43
420,Warehouse,1,DELRIDGE,1968,1,140520,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,140520.0,,,,,61.0,15.80000019,0.0,1310524.0,914988.0,0.41
421,Large Office,7,MAGNOLIA / QUEEN ANNE,1986,5,154029,62380,"Office, Parking",Office,91645.0,Parking,66288.0,,,95.0,50.59999847,0.0,4060681.0,575715.0,0.38
422,Other,5,NORTHWEST,2005,3,161789,91935,"Medical Office, Parking",Parking,91935.0,Medical Office,69854.0,,,62.36363636363637,99.69999695,0.0,6947606.0,16010.0,0.3
423,Medical Office,5,NORTHWEST,2005,3,63909,0,"Medical Office, Retail Store",Medical Office,60670.0,Retail Store,3239.0,,,43.513513513513516,74.59999847,0.0,4765753.0,0.0,0.52
424,Warehouse,5,NORTHWEST,1948,2,53472,0,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,46846.0,Office,10033.0,,,54.02836879432624,17.10000038,0.0,381025.0,590131.0,0.64
425,Warehouse,1,GREATER DUWAMISH,1980,1,50417,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,50417.0,,,,,14.0,36.59999847,0.0,855017.0,992384.0,1.16
426,Restaurant,7,DOWNTOWN,1900,1,43728,0,Restaurant,Restaurant,43728.0,,,,,63.63590772316951,263.2000122,0.0,0.0,11508035.0,13.98
427,Medical Office,5,NORTHWEST,1961,3,133298,0,Medical Office,Medical Office,133298.0,,,,,21.0,117.3000031,0.0,11600182.0,4040810.0,2.22
428,Retail Store,5,NORTH,1965,2,168619,0,Retail Store,Retail Store,173106.0,,,,,78.0,37.29999924,0.0,5456882.0,998946.0,0.54
429,Mixed Use Property,4,LAKE UNION,2002,5,251827,113318,"Laboratory, Office, Parking",Parking,113318.0,Laboratory,84000.0,Office,84000.0,61.96153846153846,280.3999939,0.0,29154854.0,17947572.0,4.59
430,Large Office,7,LAKE UNION,2000,4,175885,71385,"Office, Parking",Office,103970.0,Parking,71390.0,,,91.0,62.40000153,0.0,6486377.0,0.0,0.26
431,Warehouse,2,GREATER DUWAMISH,1969,2,104786,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,104786.0,,,,,93.0,9.800000191,0.0,666718.0,361659.0,0.23
432,Other,2,GREATER DUWAMISH,2000,1,53040,41600,Other,Other,51427.0,,,,,62.36363636363637,34.40000153,0.0,955967.0,814060.0,0.94
433,Other,2,GREATER DUWAMISH,1973,1,110689,0,Other,Other,110689.0,,,,,62.36363636363637,21.10000038,0.0,356328.0,1983486.0,0.97
434,Small- and Mid-Sized Office,2,GREATER DUWAMISH,1948,1,53620,0,Office,Office,53620.0,,,,,86.0,38.40000153,0.0,1890584.0,168371.0,0.41
435,Small- and Mid-Sized Office,2,GREATER DUWAMISH,1938,1,50008,0,Office,Office,50008.0,,,,,62.0,64.0,0.0,2270837.0,931375.0,1.31
436,Large Office,7,MAGNOLIA / QUEEN ANNE,2009,4,291176,100176,"Office, Parking",Office,194674.0,Parking,111198.0,,,98.0,34.20000076,0.0,6585119.0,72228.0,0.17
437,Warehouse,2,GREATER DUWAMISH,1957,1,50832,0,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,43920.0,Office,6912.0,,,63.0,50.20000076,0.0,613991.0,1937032.0,2.11
438,Refrigerated Warehouse,2,GREATER DUWAMISH,1971,1,76354,0,Refrigerated Warehouse,Refrigerated Warehouse,76486.0,,,,,70.0,37.20000076,0.0,2832924.0,10109.0,0.27
439,Warehouse,2,GREATER DUWAMISH,1956,1,98480,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,98480.0,,,,,65.0,28.79999924,0.0,2403347.0,428218.0,0.4
440,Mixed Use Property,4,LAKE UNION,1904,2,53002,0,"Multifamily Housing, Parking, Restaurant, Retail Store",Retail Store,31602.0,Parking,27427.0,Multifamily Housing,18130.0,75.0,64.40000153,0.0,2574531.0,867112.0,1.21
441,Mixed Use Property,4,LAKE UNION,2008,3,175918,51218,"Laboratory, Office, Parking",Office,66737.0,Parking,58218.0,Laboratory,30230.0,61.96153846153846,232.3000031,0.0,12047762.0,10482405.0,3.64
442,Other,3,LAKE UNION,1920,3,169785,63782,"Other, Parking",Other,106003.0,Parking,63782.0,,,62.36363636363637,180.6999969,0.0,13249663.0,5905752.0,2.39
443,Large Office,7,LAKE UNION,1971,11,124721,0,"Food Service, Office, Parking, Restaurant",Office,107594.0,Restaurant,15600.0,Parking,12000.0,58.0,111.4000015,0.0,8069980.0,5828201.0,2.93
444,Small- and Mid-Sized Office,7,LAKE UNION,1970,7,94002,0,"Office, Parking",Office,93905.0,Parking,31348.0,,,70.0,60.29999924,0.0,5662234.0,0.0,0.42
445,Warehouse,2,GREATER DUWAMISH,1974,1,93020,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,93020.0,,,,,60.0,13.5,0.0,1252324.0,0.0,0.09
446,Other,7,DOWNTOWN,1946,1,23000,0,"Office, Other",Other,20310.0,Office,2689.600098,,,62.36363636363637,30.89999962,0.0,260639.0,450480.0,1.12
447,Supermarket / Grocery Store,2,SOUTHEAST,2002,1,61053,0,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,54434.0,Parking,0.0,,,32.0,241.3000031,0.0,8474644.0,4658580.0,5.02
449,Small- and Mid-Sized Office,2,DOWNTOWN,1904,5,78920,0,Office,Office,78564.0,,,,,88.0,36.0,0.0,2830674.0,0.0,0.25
450,Small- and Mid-Sized Office,2,DOWNTOWN,1906,7,99440,0,"Office, Retail Store",Office,65088.0,Retail Store,23857.0,,,64.0,74.30000305,0.0,4685851.0,1920981.0,1.35
451,Small- and Mid-Sized Office,2,DOWNTOWN,1907,6,73260,0,Office,Office,63871.0,,,,,82.0,44.70000076,0.0,2853189.0,0.0,0.27
452,Small- and Mid-Sized Office,7,DOWNTOWN,1900,4,69817,0,"Office, Retail Store",Office,34647.0,Retail Store,26039.0,,,87.0,35.90000153,771085.1875,1245123.0,161866.0,1.1
453,Small- and Mid-Sized Office,7,DOWNTOWN,1900,4,84750,0,"Enclosed Mall, Office",Office,41609.0,Enclosed Mall,28734.0,,,67.21794871794872,29.79999924,0.0,1846842.0,247883.0,0.31
454,Small- and Mid-Sized Office,7,DOWNTOWN,1900,6,75496,13320,"Office, Restaurant, Retail Store",Office,45799.0,Retail Store,9739.0,Restaurant,4689.0,67.21794871794872,59.29999924,0.0,3570162.0,0.0,0.33
455,Large Office,7,DOWNTOWN,1900,4,164380,0,"Office, Retail Store",Office,123607.0,Retail Store,20795.0,,,79.0,53.0,399538.3125,6196714.0,1059498.0,0.79
456,Large Office,2,DOWNTOWN,1907,7,160580,0,Office,Office,160580.0,,,,,98.0,27.0,347207.9063,3014081.0,974898.0,0.62
458,Other,2,DOWNTOWN,1906,3,67755,0,"Data Center, Office, Other, Other - Entertainment/Public Assembly",Other,33647.0,Office,19705.0,Other - Entertainment/Public Assembly,11988.0,62.36363636363637,29.10000038,0.0,1904480.0,0.0,0.2
459,Mixed Use Property,2,GREATER DUWAMISH,1910,3,56700,0,"Distribution Center, Non-Refrigerated Warehouse, Office",Office,26250.0,Distribution Center,18050.0,Non-Refrigerated Warehouse,12400.0,37.0,41.79999924,0.0,2045416.0,326159.0,0.56
460,Warehouse,2,GREATER DUWAMISH,1922,1,82852,0,"Non-Refrigerated Warehouse, Retail Store",Non-Refrigerated Warehouse,58472.0,Retail Store,23282.0,,,83.0,26.29999924,0.0,1058065.0,1095539.0,0.79
461,Other,2,GREATER DUWAMISH,1953,2,76442,0,"Distribution Center, Office, Other",Other,50500.0,Distribution Center,18000.0,Office,7604.0,62.36363636363637,52.29999924,0.0,1705403.0,2272874.0,1.73
462,Distribution Center,2,GREATER DUWAMISH,1962,2,92792,0,"Distribution Center, Office",Distribution Center,85343.0,Office,13435.0,,,56.0,31.89999962,0.0,2024573.0,1130923.0,0.8
463,Other,2,GREATER DUWAMISH,1941,2,125519,0,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,142901.0,,,,,62.36363636363637,15.69999981,0.0,2244317.0,0.0,0.12
464,Large Office,2,GREATER DUWAMISH,1900,4,129000,25800,Office,Office,104869.0,,,,,80.0,41.70000076,0.0,4374645.0,0.0,0.24
465,Warehouse,2,GREATER DUWAMISH,1954,1,78814,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,78814.0,,,,,69.0,10.89999962,0.0,635127.0,226846.0,0.21
466,Small- and Mid-Sized Office,2,GREATER DUWAMISH,1904,4,58970,0,"Multifamily Housing, Non-Refrigerated Warehouse, Office, Parking",Office,39870.0,Non-Refrigerated Warehouse,11600.0,Multifamily Housing,7000.0,67.21794871794872,30.39999962,0.0,1152375.0,624037.0,0.7
467,Distribution Center,2,GREATER DUWAMISH,1910,6,75600,10800,"Distribution Center, Office, Parking",Distribution Center,51040.0,Office,10500.0,Parking,6000.0,15.0,43.70000076,0.0,2688675.0,0.0,0.25
468,Distribution Center,2,GREATER DUWAMISH,1907,4,56270,0,"Distribution Center, Non-Refrigerated Warehouse, Office, Retail Store",Distribution Center,39884.0,Non-Refrigerated Warehouse,9270.0,Office,4116.0,53.725,18.79999924,0.0,1056782.0,0.0,0.13
469,Small- and Mid-Sized Office,2,DOWNTOWN,1904,4,66842,0,"Office, Retail Store",Office,43122.0,Retail Store,10514.0,,,31.0,104.5999985,0.0,3457540.0,2151060.0,2.07
470,Small- and Mid-Sized Office,2,DOWNTOWN,1909,6,75288,10800,"Office, Parking",Office,65508.0,Parking,10918.0,,,81.0,44.09999847,0.0,2891229.0,376.0,0.27
471,Large Office,2,DOWNTOWN,1904,7,184322,0,"Data Center, Office",Office,183916.0,Data Center,406.0,,,81.0,52.70000076,0.0,9722889.0,0.0,0.37
472,Large Office,2,DOWNTOWN,2009,7,287853,0,"Office, Retail Store",Office,273812.0,Retail Store,12102.0,,,43.0,89.40000153,0.0,25482582.0,84524.0,0.63
473,Small- and Mid-Sized Office,2,GREATER DUWAMISH,1914,2,64512,0,Office,Office,63000.0,,,,,53.0,94.69999695,0.0,2952139.0,3016015.0,2.8
474,Mixed Use Property,2,GREATER DUWAMISH,2009,6,286000,111774,"Distribution Center, Office, Other, Other - Recreation, Parking",Parking,111774.0,Office,108747.0,Other,49271.0,61.96153846153846,366.3999939,0.0,63822136.0,13053.0,1.56
475,Warehouse,2,GREATER DUWAMISH,1926,7,144050,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,144050.0,,,,,26.0,27.29999924,0.0,2389825.0,1539546.0,0.68
476,Small- and Mid-Sized Office,2,GREATER DUWAMISH,1930,3,60592,0,Office,Office,60384.0,,,,,16.0,83.59999847,0.0,4788414.0,261032.0,0.78
477,Large Office,2,GREATER DUWAMISH,1912,6,1380959,0,"Non-Refrigerated Warehouse, Office, Retail Store",Office,1000730.0,Retail Store,281296.0,Non-Refrigerated Warehouse,220303.0,79.0,49.29999924,0.0,67760546.0,6370020.0,0.59
478,Retail Store,2,GREATER DUWAMISH,1993,1,107930,0,Retail Store,Retail Store,107704.0,,,,,57.0,67.0,0.0,6136093.0,1085388.0,0.93
479,Warehouse,2,GREATER DUWAMISH,1926,1,99084,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,99084.0,,,,,83.0,16.29999924,0.0,795088.0,823022.0,0.5
480,Distribution Center,1,Delridge,1953,1,72719,0,Distribution Center,Distribution Center,72719.0,,,,,28.0,35.5,0.0,2045435.0,536307.0,0.59
481,Small- and Mid-Sized Office,3,EAST,1930,4,76624,0,Office,Office,76624.0,,,,,91.0,36.20000076,0.0,2468547.0,305100.0,0.44
482,Small- and Mid-Sized Office,4,NORTHEAST,2001,6,91706,36583,"Office, Other, Parking",Office,53281.0,Parking,34701.0,Other,3724.0,2.0,150.3000031,0.0,8570570.0,0.0,0.65
483,Medical Office,7,LAKE UNION,2008,5,129093,39902,"Medical Office, Other, Parking",Medical Office,89131.0,Parking,37652.0,Other,5615.0,6.0,203.1999969,0.0,11800324.0,7448407.0,3.7
484,Large Office,1,DELRIDGE,1991,5,138106,16221,"Office, Parking",Office,119083.0,Parking,16221.0,,,41.0,70.40000153,0.0,8381833.0,0.0,0.42
485,Retail Store,2,GREATER DUWAMISH,1973,1,56572,0,Retail Store,Retail Store,56576.0,,,,,66.0,42.59999847,0.0,1315085.0,1094344.0,1.19
487,Medical Office,3,EAST,2004,1,225982,0,Medical Office,Medical Office,200184.0,,,,,53.0,102.6999969,7815663.0,12744957.0,0.0,3.06
488,Mixed Use Property,7,DOWNTOWN,2006,1,516407,0,"Financial Office, Hotel, Multifamily Housing, Other, Parking, Restaurant, Supermarket/Grocery Store",Parking,385196.0,Multifamily Housing,340236.0,Hotel,67627.0,31.0,76.30000305,0.0,29432803.0,9970512.0,1.42
489,Large Office,2,DOWNTOWN,2000,11,312512,0,"Data Center, Office, Restaurant",Office,303312.0,Data Center,4738.0,Restaurant,4462.0,77.4375,82.40000153,0.0,25619164.0,127855.0,0.59
490,Large Office,7,DOWNTOWN,2005,42,1592914,0,"Data Center, Financial Office, Office, Parking, Restaurant",Office,914832.0,Parking,348788.0,Financial Office,303910.0,97.0,45.29999924,986403.1875,55123924.0,388532.0,0.3
491,Small- and Mid-Sized Office,7,DOWNTOWN,1926,6,97720,0,"Data Center, Office, Retail Store",Office,51881.0,Data Center,11999.0,Retail Store,9713.0,67.21794871794872,33.70000076,0.0,2478025.0,0.0,0.18
492,Medical Office,3,EAST,1985,10,422503,206580,Medical Office,Medical Office,197408.0,,,,,46.0,87.40000153,994154.3125,16260654.0,0.0,0.45
493,Medical Office,3,CENTRAL,1987,7,94500,0,Medical Office,Medical Office,113739.0,,,,,68.0,50.90000153,0.0,5792925.0,0.0,0.43
494,Retail Store,1,DELRIDGE,2005,1,94713,0,Retail Store,Retail Store,109758.0,,,,,79.0,49.40000153,0.0,4182901.0,1234697.0,1.0
495,Medical Office,7,EAST,2008,9,302902,101342,"Medical Office, Parking",Medical Office,201365.0,Parking,86270.0,,,58.0,73.30000305,0.0,14155468.0,595647.0,0.43
496,Medical Office,3,EAST,1973,19,319911,156407,"Medical Office, Parking",Medical Office,170727.0,Parking,69171.0,,,50.0,88.30000305,3593940.25,11473398.0,0.0,1.12
497,Large Office,7,DOWNTOWN,1900,6,205521,0,"Office, Retail Store",Office,114919.0,Retail Store,28643.0,,,94.0,56.70000076,2068666.75,4325997.0,1743952.0,1.37
498,Small- and Mid-Sized Office,7,DOWNTOWN,1900,6,56700,0,"Office, Retail Store",Office,46000.0,Retail Store,10500.0,,,55.0,54.29999924,0.0,3065954.0,0.0,0.38
499,Small- and Mid-Sized Office,2,GREATER DUWAMISH,1925,4,72000,0,Office,Office,72000.0,,,,,89.0,37.90000153,0.0,2632591.0,96576.0,0.33
