,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofFloors,PropertyGFATotal,PropertyGFAParking,ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),GHGEmissionsIntensity
1405,Small- and Mid-Sized Office,7,LAKE UNION,1953,2,43183,0,"Data Center, Office",Office,26580.0,Data Center,11497.0,,,67.21794871794872,194.6000061,0.0,6523873.0,884468.0,2.14
1408,Worship Facility,4,NORTH,1908,3,45680,0,Worship Facility,Worship Facility,45680.0,,,,,79.0,45.5,0.0,509352.0,1567688.0,1.9
1418,Senior Care Community,7,LAKE UNION,2006,14,724148,0,Senior Care Community,Senior Care Community,726000.0,,,,,8.0,52.09999847,0.0,23718388.0,14078694.0,1.26
1422,Worship Facility,1,SOUTHWEST,1957,1,23562,0,"Office, Worship Facility",Worship Facility,18278.0,Office,15212.0,,,96.0,15.89999962,0.0,531737.0,0.0,0.16
1425,Small- and Mid-Sized Office,6,Ballard,1999,4,28844,0,"Office, Other",Office,10292.0,Other,10200.0,,,67.21794871794872,44.40000153,0.0,910718.0,0.0,0.22
1429,Warehouse,2,GREATER DUWAMISH,1989,1,21101,0,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,18373.0,Office,2728.0,,,54.02836879432624,32.0,0.0,171716.0,504057.0,1.33
1430,Refrigerated Warehouse,2,GREATER DUWAMISH,1914,2,45594,0,Refrigerated Warehouse,Refrigerated Warehouse,45594.0,,,,,75.0,29.60000038,0.0,1351268.0,0.0,0.21
1431,Other,2,GREATER DUWAMISH,1950,1,26660,0,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,26660.0,,,,,62.36363636363637,84.09999847,0.0,2241280.0,0.0,0.59
1432,Warehouse,2,GREATER DUWAMISH,1975,1,28126,0,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,21780.0,Office,6346.0,,,44.0,31.0,0.0,598370.0,272256.0,0.66
1433,Warehouse,2,GREATER DUWAMISH,1964,1,35000,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,35000.0,,,,,53.0,10.80000019,0.0,378714.0,0.0,0.08
1434,Warehouse,2,GREATER DUWAMISH,1962,1,26150,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,26150.0,,,,,6.0,46.20000076,0.0,815508.0,392900.0,1.02
1435,Small- and Mid-Sized Office,2,GREATER DUWAMISH,1967,2,24000,0,Office,Office,24000.0,,,,,73.0,45.40000153,0.0,1088556.0,0.0,0.32
1436,K-12 School,3,EAST,1968,5,43594,0,K-12 School,K-12 School,40809.0,,,,,38.0,60.70000076,0.0,1264732.0,1213313.0,1.68
1442,Distribution Center,4,LAKE UNION,1912,1,28080,0,"Distribution Center, Office",Distribution Center,25580.0,Office,2500.0,,,53.725,28.29999924,0.0,513012.0,281713.0,0.66
1456,Senior Care Community,5,NORTHWEST,1954,2,51298,0,Senior Care Community,Senior Care Community,51298.0,,,,,85.0,110.1999969,0.0,2094607.0,3560971.0,3.97
1458,Worship Facility,5,NORTHWEST,1962,1,22047,0,"Parking, Worship Facility",Worship Facility,22898.0,Parking,0.0,,,100.0,11.60000038,0.0,265775.0,0.0,0.08
1462,Warehouse,1,GREATER DUWAMISH,1979,1,31600,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,31600.0,,,,,3.0,106.4000015,0.0,1633306.0,1730229.0,3.27
1463,Warehouse,1,GREATER DUWAMISH,2007,1,35289,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,35289.0,,,,,63.0,24.79999924,0.0,490823.0,385602.0,0.68
1464,Warehouse,1,GREATER DUWAMISH,1981,1,28920,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,30000.0,,,,,50.0,58.29999924,0.0,279044.0,1471375.0,2.77
1465,Warehouse,1,GREATER DUWAMISH,1978,1,22176,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,22176.0,,,,,60.0,33.20000076,0.0,137469.0,598959.0,1.48
1468,Small- and Mid-Sized Office,5,NORTH,1974,3,39927,0,"Office, Parking",Office,39541.0,Parking,0.0,,,38.0,90.19999695,0.0,3568419.0,0.0,0.62
1469,Other,5,NORTH,1979,1,30610,0,"Office, Other - Recreation",Other - Recreation,23320.0,Office,7290.0,,,62.36363636363637,140.3000031,0.0,1999987.0,2294563.0,4.44
1470,Medical Office,5,NORTH,1980,2,26930,6350,Medical Office,Medical Office,26930.0,,,,,64.0,37.20000076,0.0,1002995.0,0.0,0.26
1471,Medical Office,5,NORTH,1968,2,38745,0,"Medical Office, Parking",Medical Office,65069.0,Parking,0.0,,,76.0,44.40000153,0.0,2251578.0,638800.0,1.28
1472,Self-Storage Facility,4,NORTHEAST,1959,2,20296,0,Self-Storage Facility,Self-Storage Facility,20296.0,,,,,63.63590772316951,42.20000076,0.0,855665.0,0.0,0.29
1473,Mixed Use Property,4,NORTHEAST,1945,2,22135,0,"Medical Office, Non-Refrigerated Warehouse, Office, Retail Store",Medical Office,10388.0,Office,8116.0,Retail Store,3200.0,61.96153846153846,55.0,0.0,858099.0,403535.0,1.24
1474,Medical Office,4,NORTHEAST,1967,3,38378,0,"Medical Office, Parking",Medical Office,35066.0,Parking,3312.0,,,86.0,46.90000153,0.0,729620.0,915985.0,1.4
1475,Warehouse,4,NORTHEAST,1980,2,33576,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,33576.0,,,,,64.0,38.0,0.0,390124.0,885108.0,1.48
1476,Supermarket / Grocery Store,4,NORTHEAST,1975,1,33005,0,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,34982.0,Parking,0.0,,,21.0,304.2000122,0.0,7359683.0,3283070.0,6.84
1481,Other,3,EAST,1981,1,20971,0,"Bank Branch, Medical Office, Parking, Retail Store",Parking,23483.0,Retail Store,10360.0,Medical Office,8509.0,62.36363636363637,33.29999924,0.0,729397.0,0.0,0.24
1486,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,1927,3,23910,0,"Office, Retail Store",Office,20000.0,Retail Store,3910.0,,,67.21794871794872,36.5,0.0,678167.0,195410.0,0.63
1488,Worship Facility,6,BALLARD,1910,2,21765,0,Worship Facility,Worship Facility,21765.0,,,,,80.0,19.79999924,0.0,119922.0,311468.0,0.8
1494,University,3,EAST,1939,2,2200000,0,"College/University, Parking",College/University,1719643.0,Parking,318960.0,,,63.63590772316951,66.69999695,0.0,61672821.0,52975694.0,1.47
1496,Worship Facility,3,CENTRAL,1901,2,26560,0,Worship Facility,Worship Facility,26560.0,,,,,1.0,65.90000153,0.0,609983.0,1141501.0,2.44
1497,Warehouse,4,LAKE UNION,1957,2,20140,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,20140.0,,,,,49.0,5.800000191,0.0,116487.0,0.0,0.04
1508,Retail Store,2,GREATER DUWAMISH,1992,2,38845,0,"Parking, Retail Store",Retail Store,38845.0,Parking,6000.0,,,82.0,178.1000061,0.0,3290526.0,3626753.0,5.55
1509,Supermarket / Grocery Store,2,GREATER DUWAMISH,1953,1,26092,0,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,25946.0,Parking,0.0,,,40.0,293.7000122,0.0,5004995.0,2614450.0,6.66
1512,Small- and Mid-Sized Office,2,GREATER DUWAMISH,1967,1,25500,0,Office,Office,25500.0,,,,,98.0,47.59999847,0.0,198748.0,1015122.0,2.17
1513,Warehouse,2,GREATER DUWAMISH,1961,1,41895,0,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,37524.0,Office,2596.0,,,54.02836879432624,31.0,0.0,886222.0,356089.0,0.6
1514,Retail Store,2,GREATER DUWAMISH,1958,2,56193,0,Retail Store,Retail Store,56193.0,,,,,66.11111111111111,44.5,0.0,1858950.0,638992.0,0.83
1518,K-12 School,6,BALLARD,1922,3,35448,0,K-12 School,K-12 School,35448.0,,,,,97.0,38.90000153,0.0,280549.0,1099383.0,1.7
1519,Supermarket / Grocery Store,6,BALLARD,1966,1,29214,0,Supermarket/Grocery Store,Supermarket/Grocery Store,29214.0,,,,,8.0,319.6000061,0.0,6227281.0,3108958.0,7.14
1522,Supermarket / Grocery Store,6,BALLARD,2000,1,89103,43035,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,47034.0,Parking,0.0,,,34.0,298.2999878,0.0,7808020.0,6221459.0,4.32
1523,Other,6,BALLARD,1961,1,32000,0,"Office, Other - Recreation",Other - Recreation,29880.0,Office,4700.0,,,62.36363636363637,38.5,0.0,548631.0,782491.0,1.42
1524,Mixed Use Property,6,BALLARD,1910,2,31140,0,"Non-Refrigerated Warehouse, Other, Retail Store",Other,14840.0,Retail Store,9400.0,Non-Refrigerated Warehouse,6900.0,61.96153846153846,30.0,0.0,234613.0,700967.0,1.25
1525,Warehouse,6,BALLARD,1975,3,41478,0,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,31932.0,Office,9546.0,,,3.0,73.19999695,0.0,1799383.0,1236579.0,1.89
1526,Warehouse,6,BALLARD,1980,1,39840,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,39840.0,,,,,2.0,18.89999962,0.0,752104.0,0.0,0.13
1534,Other,6,BALLARD,2004,1,30576,15576,"Library, Other - Services",Library,15000.0,Other - Services,3100.0,,,62.36363636363637,84.69999695,0.0,930038.0,603208.0,1.26
1537,Other,6,BALLARD,1924,2,21528,0,Social/Meeting Hall,Social/Meeting Hall,21528.0,,,,,62.36363636363637,14.30000019,0.0,209914.0,96997.0,0.31
1538,Other,6,BALLARD,1928,2,30000,0,"Parking, Strip Mall",Strip Mall,25828.0,Parking,0.0,,,62.36363636363637,42.40000153,0.0,975561.0,119380.0,0.44
1557,Other,6,BALLARD,1942,2,30087,0,Other,Other,30554.0,,,,,62.36363636363637,172.6000061,0.0,5274641.0,0.0,1.22
1558,Worship Facility,6,BALLARD,1975,1,40445,0,Worship Facility,Worship Facility,40445.0,,,,,92.0,19.39999962,0.0,271219.0,515035.0,0.72
1559,Retail Store,6,BALLARD,1996,1,23500,0,Retail Store,Retail Store,23500.0,,,,,53.0,48.40000153,0.0,1021883.0,116084.0,0.57
1560,Retail Store,6,Ballard,1967,1,22420,0,Retail Store,Retail Store,23067.0,,,,,82.0,60.90000153,0.0,927422.0,476832.0,1.42
1563,Supermarket / Grocery Store,7,MAGNOLIA / QUEEN ANNE,1961,1,25842,0,Supermarket/Grocery Store,Supermarket/Grocery Store,25987.0,,,,,35.0,327.7999878,0.0,4656997.0,3861316.0,9.19
1565,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,1992,3,26389,0,"Fitness Center/Health Club/Gym, Office",Office,16766.0,Fitness Center/Health Club/Gym,9623.0,,,67.21794871794872,45.79999924,0.0,1208035.0,0.0,0.32
1566,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,1982,3,25859,0,"Office, Parking",Office,25859.0,Parking,4000.0,,,88.0,33.20000076,0.0,665707.0,193073.0,0.58
1567,Warehouse,7,MAGNOLIA / QUEEN ANNE,1974,1,25600,0,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,20600.0,Office,5000.0,,,1.0,67.59999847,0.0,1249609.0,480992.0,1.34
1568,Other,7,MAGNOLIA / QUEEN ANNE,1965,1,23169,0,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,10200.0,,,,,62.36363636363637,21.79999924,0.0,222256.0,0.0,0.07
1569,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,2008,4,41784,8399,"Office, Parking",Office,33385.0,Parking,8399.0,,,89.0,38.79999924,0.0,1294615.0,0.0,0.22
1570,Warehouse,7,MAGNOLIA / QUEEN ANNE,1960,1,56884,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,56884.0,,,,,71.0,24.39999962,0.0,785464.0,602881.0,0.66
1573,Retail Store,6,BALLARD,1989,1,32810,0,Retail Store,Retail Store,32810.0,,,,,66.0,61.5,0.0,1316268.0,701700.0,1.42
1576,Self-Storage Facility,7,MAGNOLIA / QUEEN ANNE,1980,3,30989,0,Self-Storage Facility,Self-Storage Facility,30989.0,,,,,63.63590772316951,3.200000048,0.0,97690.0,0.0,0.02
