,CouncilDistrictCode,YearBuilt,NumberofFloors,ENERGYSTARScore,SiteEUI(kBtu/sf),SourceEUI(kBtu/sf),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),GHGEmissionsIntensity,PrimaryPropertyType_Distribution Center,PrimaryPropertyType_Hospital,PrimaryPropertyType_Hotel,PrimaryPropertyType_K-12 School,PrimaryPropertyType_Laboratory,PrimaryPropertyType_Large Office,PrimaryPropertyType_Low-Rise Multifamily,PrimaryPropertyType_Medical Office,PrimaryPropertyType_Mixed Use Property,PrimaryPropertyType_Other,PrimaryPropertyType_Refrigerated Warehouse,PrimaryPropertyType_Residence Hall,PrimaryPropertyType_Restaurant,PrimaryPropertyType_Retail Store,PrimaryPropertyType_Self-Storage Facility,PrimaryPropertyType_Senior Care Community,PrimaryPropertyType_Small- and Mid-Sized Office,PrimaryPropertyType_Supermarket / Grocery Store,PrimaryPropertyType_University,PrimaryPropertyType_Warehouse,PrimaryPropertyType_Worship Facility
107,2,1950,1,62.36363636363637,109.4000015,242.6999969,0.0,4182001.0,3293576.0,3.03,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
112,2,1958,1,67.21794871794872,83.80000305,234.8999939,0.0,3569337.0,684032.0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
113,2,2009,5,62.36363636363637,21.89999962,24.60000038,0.0,67462.0,1882631.0,1.12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
114,7,1980,2,63.63590772316951,78.30000305,180.6999969,0.0,2479273.0,1637598.0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
115,7,2001,4,89.0,32.79999924,70.19999695,0.0,2316298.0,2132284.0,0.93,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
116,5,2011,2,96.0,35.0,78.69999695,0.0,4789948.0,3566039.0,0.94,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,3,1971,6,62.36363636363637,60.5,145.6000061,4336524.5,8155002.0,580172.0,1.68,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
119,7,2004,11,62.36363636363637,261.2999878,530.7000122,0.0,30651644.0,34685331.0,6.87,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
120,2,2007,3,21.0,60.0,165.8000031,0.0,2657382.0,584696.0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
121,5,1951,1,98.0,52.29999924,118.9000015,0.0,16224529.0,11492503.0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
122,5,1964,3,62.36363636363637,154.5,311.0,0.0,3344827.0,3920350.0,4.27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
123,5,1965,4,76.0,71.90000153,223.6999969,0.0,8653621.0,112356.0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
124,4,1953,10,10.0,288.7999878,578.2000122,0.0,115641210.0,138191238.0,9.27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,5,1996,3,72.0,85.59999847,194.1000061,0.0,1859345.0,1331883.0,1.51,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
127,3,1910,5,63.63590772316951,16.20000076,28.79999924,0.0,482635.0,898955.0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
128,5,1970,2,63.63590772316951,53.79999924,161.1999969,0.0,33450832.0,2440648.0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
131,2,1904,4,61.0,18.39999962,36.0,0.0,912475.0,1187623.0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
134,2,1937,1,87.0,28.79999924,42.0,0.0,1316817.0,5427500.0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
135,1,1966,1,72.0,45.0,130.6999969,0.0,2613687.0,330609.0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
136,1,1965,1,37.0,136.1999969,223.8999939,0.0,2624102.0,6606121.0,5.45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
137,1,2010,2,97.0,33.29999924,81.59999847,0.0,8205020.0,4060496.0,0.74,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,6,1973,3,62.36363636363637,33.09999847,66.19999695,0.0,844864.0,1006396.0,1.06,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
142,1,1969,2,63.63590772316951,26.39999962,48.79999924,0.0,523765.0,853755.0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
144,3,1998,5,79.0,75.59999847,148.1999969,0.0,4079217.0,5293961.0,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,3,1900,1,62.36363636363637,175.6000061,368.8999939,0.0,3797924.0,3750882.0,4.51,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
146,7,1926,2,54.02836879432624,8.0,25.10000038,0.0,430474.0,0.0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
147,7,1998,7,76.0,78.90000153,164.5,0.0,5530787.0,5641200.0,1.63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,5,1957,2,67.21794871794872,100.5,262.7000122,0.0,7093984.0,2378373.0,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
151,5,1968,4,70.0,95.5,184.6999969,0.0,2620548.0,3577277.0,3.21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,7,1900,3,78.0,37.59999847,101.3000031,0.0,1317637.0,359365.0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
155,2,1999,6,62.36363636363637,37.70000076,104.6999969,0.0,49439914.0,10317518.0,0.56,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
156,2,1924,2,53.725,52.20000076,156.3000031,0.0,8772104.0,664302.0,0.54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,2,1965,2,54.02836879432624,55.90000153,175.3999939,0.0,3928695.0,0.0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
158,2,1999,3,62.36363636363637,50.09999847,125.0999985,0.0,40622381.0,18138920.0,1.06,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
159,2,2005,9,64.0,88.19999695,183.0,0.0,6232233.0,6494555.0,2.31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,1,1916,4,34.0,30.29999924,95.09999847,0.0,2411402.0,0.0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
162,1,1980,2,77.4375,159.8999939,451.2000122,0.0,45321378.0,8145300.0,2.24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,5,2008,6,62.36363636363637,107.8000031,285.7000122,0.0,6995246.0,2139716.0,0.39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
164,7,2002,4,61.96153846153846,95.30000305,291.3999939,0.0,10139555.0,418354.0,0.84,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
166,7,1999,1,61.22222222222222,117.9000015,272.8999939,0.0,39364114.0,25683162.0,1.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,3,1990,5,34.0,238.3999939,454.3999939,0.0,58754927.0,84668094.0,8.21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,4,1991,3,91.0,8.199999809,21.70000076,0.0,423381.0,125800.0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
170,3,2000,8,29.0,217.1000061,502.8999939,122575032.0,168683602.0,1832129.0,9.26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,2,1999,5,53.94444444444444,98.30000305,254.3000031,0.0,7428816.0,2676561.0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
174,4,1928,2,98.0,24.79999924,26.29999924,0.0,6138.0,1371489.0,1.31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,4,1931,16,49.0,111.6999969,186.8999939,0.0,3561742.0,8373976.0,4.39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,5,1972,5,62.0,62.0,170.3999939,0.0,2558533.0,588509.0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
177,4,1952,2,46.0,43.0,81.0,0.0,975113.0,1464372.0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
178,4,1952,3,42.0,47.09999847,96.90000153,0.0,2338435.0,2515995.0,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
185,7,1914,7,62.36363636363637,47.0,142.3999939,0.0,5732650.0,324760.0,0.44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
186,7,1913,9,76.0,54.79999924,113.5,3076446.5,2496056.0,0.0,2.37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
187,7,1955,15,62.36363636363637,306.3999939,962.0999756,0.0,62197171.0,0.0,1.88,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
